Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,7,Angola,5312,Area harvested,254,"Oil, palm fruit",2014,2014,ha,23026,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,402,"Onions, shallots, green",2014,2014,ha,12734,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,574,Pineapples,2014,2014,ha,44108,,Official data
QC,Crops,7,Angola,5312,Area harvested,116,Potatoes,2014,2014,ha,106180,,Official data
QC,Crops,7,Angola,5312,Area harvested,27,"Rice, paddy",2014,2014,ha,30068,,Official data
QC,Crops,7,Angola,5312,Area harvested,328,Seed cotton,2014,2014,ha,3000,F,FAO estimate
QC,Crops,7,Angola,5312,Area harvested,289,Sesame seed,2014,2014,ha,12163,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,789,Sisal,2014,2014,ha,557,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,83,Sorghum,2014,2014,ha,198844,,Official data
QC,Crops,7,Angola,5312,Area harvested,236,Soybeans,2014,2014,ha,23567,,Official data
QC,Crops,7,Angola,5312,Area harvested,156,Sugar cane,2014,2014,ha,13471,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,267,Sunflower seed,2014,2014,ha,16783,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,122,Sweet potatoes,2014,2014,ha,168700,,Official data
QC,Crops,7,Angola,5312,Area harvested,826,"Tobacco, unmanufactured",2014,2014,ha,2903,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,388,Tomatoes,2014,2014,ha,6027,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,463,"Vegetables, fresh nes",2014,2014,ha,56789,Im,FAO data based on imputation methodology
QC,Crops,7,Angola,5312,Area harvested,15,Wheat,2014,2014,ha,3591,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5312,Area harvested,486,Bananas,2014,2014,ha,30,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5312,Area harvested,414,"Beans, green",2014,2014,ha,26,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5312,Area harvested,358,Cabbages and other brassicas,2014,2014,ha,33,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5312,Area harvested,426,Carrots and turnips,2014,2014,ha,82,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5312,Area harvested,125,Cassava,2014,2014,ha,26,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5312,Area harvested,401,"Chillies and peppers, green",2014,2014,ha,21,Im,FAO data based on imputation methodology
QC,Crops,8,Antigua and Barbuda,5312,Area harvested,397,Cucumbers and gherkins,2014,2014,ha,13,Im,FAO data based on imputation methodology
